id;time;post_id;text;likes
10155313762163810_10155313802218810;2017-05-29T08:45:41+0000;10155313762163810_10155313802218810;Claudio Fuoristradista;43
10155312527023810_10155313689453810;2017-05-29T07:31:22+0000;10155312527023810_10155313689453810;Una bella lettera caro capitano !! Sarai sempre il nostro "TOTTIGOL";89
1790452990981437_1790483190978417;2017-05-28T21:48:17+0000;113272742032812_1790452990981437;non si attraversano i binari...la gente non vuole capirlo;29
1790995930927143_1791029374257132;2017-05-29T08:43:53+0000;113272742032812_1790995930927143;Perchè ucciderlo? Brutti bastardi;94
1790953097598093_1790973347596068;2017-05-29T07:33:27+0000;113272742032812_1790953097598093;Che guardava sullo smartphone?;57
10155313650283810_10155313742593810;2017-05-29T08:11:25+0000;10155313650283810_10155313742593810;Vai Mattia sei un bambino meraviglioso con 2 genitori super fantastici in bocca al lupoooo e forza r;98
1790452990981437_1790494100977326;2017-05-28T22:01:24+0000;113272742032812_1790452990981437;No ma in queste tragedie oltre al dispiacere io rimango incredula. Tralasciando il fatto che i binar;60
10155312526028810_10155313656503810;2017-05-29T07:05:26+0000;10155312526028810_10155313656503810;;67
10155312528398810_10155313732748810;2017-05-29T08:04:37+0000;10155312528398810_10155313732748810;Laziale sparisci da questi post. Sei un complessato. Noi siamo la vostra eterna sconfitta. A Roma so;69
1790244217668981_1790870520939684;2017-05-29T05:43:03+0000;113272742032812_1790244217668981;Luca Orlando Mattia Sartorello dobbiamo assolutamente andare;4
10155312526028810_10155313656343810;2017-05-29T07:05:19+0000;10155312526028810_10155313656343810;;94
1790995930927143_1791034330923303;2017-05-29T08:51:07+0000;113272742032812_1790995930927143;La bestia umana trova sempre ottime scuse per uccidere.si era solo perso...;65
1790244217668981_1790889910937745;2017-05-29T06:04:59+0000;113272742032812_1790244217668981;In che zona il parco con le lucciole????😍😍😍😍😍;32
1790244444335625_1790818767611526;2017-05-29T04:49:43+0000;113272742032812_1790244444335625;Semplicemente magnifica;76
1790244217668981_1790633944296675;2017-05-29T01:14:38+0000;113272742032812_1790244217668981;;44
1790953097598093_1790989634261106;2017-05-29T07:56:25+0000;113272742032812_1790953097598093;Sapremo mai il perche'?;64
1790438740982862_1790459644314105;2017-05-28T21:17:52+0000;113272742032812_1790438740982862;È un'invasione e nella nostra Repubblica delle banane tutto è permesso !;61
10155312527023810_10155313655418810;2017-05-29T07:04:35+0000;10155312527023810_10155313655418810;;33
10155312528398810_10155313725323810;2017-05-29T07:59:39+0000;10155312528398810_10155313725323810;certo che il complesso d'inferiorita' e di non poter mai godere dell'immensita' del mio vanto e capi;34
1790995930927143_1791008284259241;2017-05-29T08:15:34+0000;113272742032812_1790995930927143;Marco Fabio Ferrero a Roma dicono che li ha portati la raggi ... quindi per Par conditio a Milano li;35
1790245014335568_1790955287597874;2017-05-29T07:03:33+0000;113272742032812_1790245014335568;SFIDA TE STESSA.   Una compressa mezzora prima di pranzo e una mezzora prima di cena per ottenere de;61
10155313650283810_10155313671118810;2017-05-29T07:19:00+0000;10155313650283810_10155313671118810;Chi lo critica e continua a prenderlo in giro non ci capisce veramente niente di calcio.... TOTTI LO;67
1790243054335764_1790858817607521;2017-05-29T05:30:40+0000;113272742032812_1790243054335764;Ma sempre mangiare mangiare mangiare gnam gnam, ufffff;94
10155313650283810_10155313729723810;2017-05-29T08:03:19+0000;10155313650283810_10155313729723810;Grande totti e chi lo critica é solo uno che rosica....ha paura si perché la sua vita sta per cambia;43
1790243054335764_1790890997604303;2017-05-29T06:06:56+0000;113272742032812_1790243054335764;sará un vero successo, tipo quella vergogna in piazza leonardo due settimane fa;41
10155312526028810_10155313741778810;2017-05-29T08:10:20+0000;10155312526028810_10155313741778810;massimo rispetto x totti ma come si puo' dimenticare un vero pezzo di storia de roma cm er principe ;91
1790438740982862_1790496997643703;2017-05-28T22:05:16+0000;113272742032812_1790438740982862;Pattugliare,no? Capisco che le FO siano carenti di personale, ma proviamo a togliere le scorte succh;72
1790243054335764_1790846597608743;2017-05-29T05:18:35+0000;113272742032812_1790243054335764;maledetti kebabbari;15
1790452990981437_1790490070977729;2017-05-28T21:55:50+0000;113272742032812_1790452990981437;ma a lambrate per uscire dalla stazione devi scendere comunque nel sottopassaggio, perchè attraversa;90
1790244681002268_1790828974277172;2017-05-29T04:58:47+0000;113272742032812_1790244681002268;;2
10155312528398810_10155313663898810;2017-05-29T07:10:22+0000;10155312528398810_10155313663898810;;59
10155312527023810_10155313556038810;2017-05-29T06:15:07+0000;10155312527023810_10155313556038810;Una giornata emozionante unica,da ricordare;19
1790953097598093_1790967420929994;2017-05-29T07:20:20+0000;113272742032812_1790953097598093;Ormai sembra di leggere un bollettino di guerra , ci possiamo almeno questa volta rallegrare perché ;99
